OrderID,CustomerID,OrderDate,Revenue,Cost,PromotionType
O000001,C00001,2024-04-27,106.2,58.42,Percent Off
O000002,C00002,2024-07-12,132.34,81.3,None
O000003,C00003,2024-04-18,77.61,47.33,Percent Off
O000004,C00003,2024-08-05,103.58,55.76,None
O000005,C00003,2024-06-20,116.91,68.52,None
O000006,C00003,2024-08-08,96.57,65.24,None
O000007,C00004,2024-11-17,56.37,32.2,Percent Off
O000008,C00005,2024-08-18,131.95,84.06,None
O000009,C00006,2024-07-31,116.88,80.52,None
O000010,C00007,2024-02-05,84.03,53.3,BOGOF
O000011,C00008,2024-06-15,112.8,73.34,None
O000012,C00008,2024-07-11,101.85,57.55,None
O000013,C00008,2024-09-22,134.32,93.41,None
O000014,C00008,2024-10-07,128.32,66.81,None
O000015,C00008,2024-07-26,144.7,88.43,None
O000016,C00008,2024-07-11,135.97,73.15,None
O000017,C00009,2024-04-10,68.06,41.11,BOGOF
O000018,C00009,2024-07-11,119.36,64.58,None
O000019,C00009,2024-07-14,66.31,36.97,None
O000020,C00009,2024-07-12,106.8,67.43,None
O000021,C00010,2024-01-15,121.75,62.75,None
O000022,C00010,2024-03-01,144.9,81.06,None
O000023,C00010,2024-05-01,139.93,87.42,None
O000024,C00010,2024-03-28,114.68,72.22,None
O000025,C00010,2024-04-21,164.75,102.47,None
O000026,C00011,2024-10-30,140.27,78.92,None
O000027,C00011,2024-11-19,131.65,81.95,None
O000028,C00012,2024-06-10,64.86,35.19,Percent Off
O000029,C00013,2024-01-03,56.11,28.62,Percent Off
O000030,C00014,2024-08-01,113.61,65.57,Percent Off
O000031,C00015,2024-09-26,134.03,72.92,None
O000032,C00016,2024-03-09,101.34,63.18,Free Shipping
O000033,C00017,2024-10-27,97.93,58.72,Percent Off
O000034,C00018,2024-01-04,62.65,35.42,Percent Off
O000035,C00019,2024-08-27,90.22,54.36,Percent Off
O000036,C00019,2024-12-23,107.43,66.38,None
O000037,C00019,2024-09-26,139.21,76.34,None
O000038,C00019,2024-11-18,132.26,85.02,None
O000039,C00020,2024-05-24,92.18,46.35,Percent Off
O000040,C00020,2024-08-27,114.2,57.46,None
O000041,C00021,2024-02-07,65.54,35.59,Percent Off
O000042,C00022,2024-12-09,47.45,29.37,Percent Off
O000043,C00023,2024-06-22,94.59,56.63,Free Shipping
O000044,C00023,2024-09-18,137.31,85.6,None
O000045,C00023,2024-10-12,136.73,82.62,None
O000046,C00023,2024-10-17,137.18,70.47,None
O000047,C00024,2024-01-31,98.67,60.87,Percent Off
O000048,C00025,2024-06-16,115.81,64.13,None
O000049,C00026,2024-05-12,126.08,82.89,None
O000050,C00027,2024-12-04,99.43,62.25,Percent Off
O000051,C00028,2024-07-20,84.96,51.57,Percent Off
O000052,C00028,2024-08-09,131.8,76.96,None
O000053,C00028,2024-08-30,137.48,85.2,None
O000054,C00028,2024-10-11,100.01,54.03,None
O000055,C00028,2024-08-20,58.38,34.68,None
O000056,C00029,2024-12-07,152.52,77.13,None
O000057,C00030,2024-05-30,75.14,47.41,Percent Off
O000058,C00030,2024-08-27,136.09,72.41,None
O000059,C00030,2024-06-19,119.76,79.38,None
O000060,C00030,2024-07-29,108.5,69.12,None
O000061,C00030,2024-09-19,91.72,51.54,None
O000062,C00030,2024-08-17,84.69,46.58,None
O000063,C00031,2024-02-12,153.98,87.98,BOGOF
O000064,C00031,2024-03-03,141.12,95.19,None
O000065,C00031,2024-03-31,97.68,64.65,None
O000066,C00031,2024-05-22,124.24,81.66,None
O000067,C00031,2024-05-23,75.35,41.76,None
O000068,C00032,2024-06-04,113.98,62.27,Percent Off
O000069,C00032,2024-07-24,126.62,76.05,None
O000070,C00032,2024-09-16,46.49,25.05,None
O000071,C00032,2024-07-28,110.44,73.73,None
O000072,C00032,2024-09-12,121.17,81.4,None
O000073,C00032,2024-09-28,90.26,56.15,None
O000074,C00033,2024-08-16,116.82,62.16,Percent Off
O000075,C00034,2024-07-14,131.11,71.58,None
O000076,C00034,2024-08-29,112.03,72.61,None
O000077,C00035,2024-01-06,96.97,63.79,BOGOF
O000078,C00035,2024-04-07,138.02,78.54,None
O000079,C00036,2024-10-04,116.44,78.76,Percent Off
O000080,C00036,2024-10-30,85.49,52.7,None
O000081,C00036,2024-12-25,93.63,52.64,None
O000082,C00037,2024-04-22,78.25,41.74,Percent Off
O000083,C00037,2024-06-16,129.97,79.85,None
O000084,C00037,2024-05-29,80.25,55.96,None
O000085,C00037,2024-08-16,137.45,92.68,None
O000086,C00038,2024-05-20,109.94,69.9,None
O000087,C00039,2024-07-13,104.85,59.3,None
O000088,C00040,2024-03-11,112.96,69.48,Free Shipping
O000089,C00040,2024-06-22,113.94,78.24,None
O000090,C00040,2024-06-08,163.29,95.98,None
O000091,C00040,2024-04-10,115.25,60.26,None
O000092,C00040,2024-04-23,124.95,81.58,None
O000093,C00040,2024-05-27,142.31,98.24,None
O000094,C00041,2024-01-08,99.32,65.08,Percent Off
O000095,C00042,2024-08-29,93.38,54.31,Percent Off
O000096,C00043,2024-10-08,102.28,55.68,Percent Off
O000097,C00044,2024-09-28,92.0,58.83,Percent Off
O000098,C00045,2024-01-14,131.54,78.0,None
O000099,C00046,2024-11-06,113.09,63.0,None
O000100,C00047,2024-02-26,94.5,56.9,Free Shipping
O000101,C00048,2024-04-12,76.7,38.56,Percent Off
O000102,C00048,2024-06-17,36.76,24.29,None
O000103,C00049,2024-12-31,119.14,61.17,None
O000104,C00050,2024-04-26,121.16,70.02,None
O000105,C00051,2024-03-16,82.87,47.66,BOGOF
O000106,C00052,2024-07-15,89.23,52.35,Percent Off
O000107,C00053,2024-12-23,47.47,25.82,Percent Off
O000108,C00054,2024-03-12,112.39,72.08,Free Shipping
